Suomen Valkoisen Ruusun suurristi / Storkorset av Finlands Vita Ros orden 
Sorvari, Laura Katariina, esittelijäneuvos, Lieto
Tanninen-Mattila, Tarja Maija, museonjohtaja, Helsinki
Tasa, Jyrki, professori, Lapinkylä
Toivola, Matti Pellervo, virastopäällikkö, Helsinki
Tornberg, Ilkka Juhani, kirkkoherra, Liminka
Träskbacka, Bror Erik, koordinator för kyrkans turistarbete, Esbo
Uotila, Minna Ireene, muotoilun tutkimuksen professori, Rovaniemi
Vahtera, Ilkka Jussi, tutkimusprofessori, Raisio
Vainio, Olli Antero, ts professori, Oulu
Varis, Olli Antero, professori, Espoo
Venäläinen, Kerttu Tellervo, kirkkoherra, Kittilä
Vihinen, Hilkka Irene, professori, Helsinki
Vilkamo, Sirkka Aini Marjaana, teollisuusneuvos, Espoo
Suomen Leijonan Pro Finlandia -mitali / Pro Finlandia -medaljen av Finlands Lejons orden 
Aaltokoski, Alpo Tapio, tanssitaiteilija, Helsinki
Franzén, Peter Vilhelm, näyttelijä kirjailija ohjaaja, USA
Hotakainen, Kari Matti, kirjailija, Helsinki
Kajander, Ismo, taiteilija, Helsinki
Kanervo, Marja Helena, kuvataiteilija, Helsinki
Karjalainen, Jukka Tapio, muusikko, Helsinki
Konttinen, Markus Juhani, taidemaalari, Helsinki
Nylund-Saris, Camilla Johanna, operasångerskan, Dresden
Peltokangas, Matti Kalevi, kuvanveistäjä, Helsinki
Rantala, Iiro Emil, muusikko, Helsinki
Saaritsa, Pentti Juhani, kirjailija, Helsinki
Suhonen, Paola Anneli Ivana, muotisuunnittelija, Helsinki
Vormala, Timo, arkkitehti, Helsinki
Ylävaara, Anni, kirjailija, Helsinki
Suomen Leijonan I luokan ritarimerkki / Riddartecknet av I klass av Finlands Lejons orden 
Aaltonen, Timo Unto Kalervo, henkilöstöjohtaja, Helsinki
Ahonen, Hanna-Leena, sosiaalineuvos, Helsinki
Alalauri, Hannu Eerik, johtaja, Helsinki
Alitalo, Riitta Leena, osastonylilääkäri, Helsinki
Antikainen, Mika Petteri, aluejohtaja, Kuopio
Anttila, Terhi Päivi Tuulia, käräjätuomari, Lappeenranta
Benson, Yrjö Juha Valdemar, erityisasiantuntija, Kerava
Castrén, Krister Sakari Henrikinpoika, kunniakonsuli, Klaipeda
Eela, Riikka Marjatta, lähetystöneuvos, Helsinki Rooma
Ehrnrooth, Thomas, direktör, Helsinki
Erkinaro, Jaakko Eino, tutkimusprofessori, Oulu
Frankenhaeuser, Carl Thomas, företagare, Borgå
Gärdström, Hans Johan, johtava ylilääkäri, Mäntyharju
Haanpää-Holappa, Mirjam Hannele, päällikkö, alueet
Haapakoski, Väinö Juha Antero, ylitarkastaja, Oulu
Hakala, Anssi Ilmari, apulaisylilääkäri, Kuusamo
Hakala, Ari Ensio, johtaja, Raasepori
Harju, Ilkka Sakari, lainsäädäntöneuvos, Helsinki
Hautala, Lasse Tapani, kansanedustaja, Kauhajoki
Heikkilä, Olli Markus, kihlakunnanvouti, Kuusamo
Heinimaa, Petri Tapani, yksikönjohtaja, Laukaa
Heino, Terhi Birgitta, koulutuspäällikkö, Espoo
Hellsten, Kaj Krister, lakiasiainjohtaja, Rovaniemi
Hintsanen, Timo, arkkitehti, Turku
Hirvonen, Päivi Helena, maakunta-arkiston johtaja, Jyväskylä
Honka, Petri Ismo Kullervo, käräjätuomari, Lahti
Husu, Marja Johanna, osastonjohtaja, Helsinki
Härkönen, Raimo Antero, hallinto-oikeustuomari, Kuopio
Jeskanen, Reijo Vilho Juhani, isännöitsijä, Joensuu
Jokinen, Janne Juhani, lähetystöneuvos, Jorvas Washington
Jokioinen, Riitta Maija, hallinto-oikeustuomari, Hämeenlinna
Juvonen, Harri Antero, palvelujohtaja, Espoo
Jämsén, Jatta Maaria, lähetystöneuvos, Helsinki
Järvi, Timo Juhani, tuottaja, Tampere
Kaikkonen, Kaarina Sisko, kuvanveistäjä, Helsinki
Kairamo, Maija, arkkitehti, Helsinki
Kairisalo, Anja Irmeli, johtaja, Helsinki
Kalland, Mirjam Johanna, pääsihteeri, Espoo
Kallio, Pekka Juhani, tutkimusjohtaja, Turku
Kallioinen, Matti Väinö Pellervo, rovasti, Joutsa
Kamppari, Merja Kristiina, henkilöstöjohtaja, Espoo
Kankaanpää, Kalle Johannes, lähetystöneuvos, Espoo
Kankare, Pasi Nikolai, johtaja, Salo
Karhula, Anneli, henkilöstöjohtaja, Helsinki
Karkkonen, Erja Sisko Sinikka, kaupallinen- ja lehdistöneuvos, Oslo
Katajamäki, Liisa Maria, hallitusneuvos, Espoo
Katajamäki, Tapio Juhani, käräjätuomari, Rusko
Keränen, Petri Tuomas, tieinsinööri, Kuopio
Kettunen, Pentti Herman, kansanedustaja, Kajaani
Kettunen, Seija Katariina, hallintojohtaja, Vantaa
Kiira, Timo Juhani, kihlakunnanvouti, Espoo
Kirjavainen, Riitta Helena, neuvotteleva virkamies, Helsinki
Kivelä, Sampo Pellervo, Baletin taiteellinen suunnittelupäällikkö, Helsinki
Kivikoski, Mikko Kalevi, lähetystöneuvos, Helsinki New York
Kohonen, Ilpo Sakari, kihlakunnansyyttäjä, Lappeenranta
Kokko, Teemu, vararehtori, Helsinki
Komulainen, Anne Helena, johtajahammaslääkäri, Vantaa
Konstari, Riku Tapio, Local BU Manager, Mustasaari
Koponen, Olli Pertti, Executive Vice President, Hämeenlinna
Koski, Martti Juhani, ylilääkäri, Mikkeli
Kouri, Timo Tapani, osastonylilääkäri, Helsinki
Kouvonen, Keijo Kullervo, varatoimitusjohtaja, Helsinki
Kuisma, Jarmo, toimitusjohtaja, Espoo
Kurkela, Olli Kalervo, hallinto-oikeustuomari, Espoo
Kurri, Tuomo-Juhani, maahanmuuttojohtaja, Helsinki
Kuttila, Kari Tapani, sydän- ja rintaelinkirurgian ylilääkäri, Turku
Kyykkä, Rilla, oopperan taiteellinen suunnittelupäällikkö, Hyvinkää
Kämäräinen, Jorma Juhani, johtava asiantuntija, Vantaa
Känkänen, Janne Heikki Topias, teollisuusneuvos, Helsinki
Laakko, Riitta Inkeri, kuntayhtymän johtaja, Lappeenranta
Laakso, Hanna Kristiina, tieinsinööri, Helsinki
Lampinen, Pertti Taito Tapio, päällikkö, Harviala
Larjomaa, Eeva Helena, viestintäjohtaja, Helsinki
Lehtonen, Timo Juhani, johtaja, Mikkeli
Lehtovirta, Jaakko Ilkka, lähetystöneuvos, Helsinki Tokio
Leinonen, Esko Kaleva, osastonjohtaja, Kirkkonummi
Leisti, Risto Kalevi, toimitusjohtaja, Espoo
Leppänen, Raija Anneli, osaamiskeskuksen johtaja, Helsinki
Lindell, Christina Carita, osastopäällikkö, Helsinki
Lindén, Jarmo Mikael, valtiosihteeri, Helsinki
